# Map file for tile-based game 
# (Lines that start with '#' are comments)
# The tiles are:
#   (Space) Empty tile
#   A..Z    Tiles A through Z
#   o       Star
#   !       Music Note
#   *       Goal
#   1       Bad Guy 1 (grub)
#   2       Bad Guy 2 (fly)
                                                                                                                   
                                                                                                                   
                                                                                                                   
                                                                                                                   
                                                                                                                     
                                                                                                                     
JR                                                                                                                   QJ  
JR                                                                                                                   QJ
JR                                                                                                                   QJ
JR                                                                                                                   QJ
JR                                                                                                                   QJ
JR                                                                                                                   QJ
JR                                                                                                                   QJ
JR                                                                                                                333QJ
JR                                                                                                                3 *QJ
JMKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKLJ
